,Unnamed: 0,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
24,9791161727769,9791161727769,공유경제 쫌 아는 10대 협력과 나눔으로 즐기는 새로운 경제,석혜원 글/신병근 그림,풀빛,2020년 09월 15일,11700,청소년
25,9791165730772,9791165730772,돼지들,클레망틴 보베 /손윤지 역,천개의바람,2020년 08월 28일,11700,청소년
26,9791160946758,9791160946758,"인공지능 시대, 십 대를 위한 미디어 수업",정재민,사계절,2020년 08월 27일,13320,청소년
27,9788997826445,9788997826445,PD 어떻게 되었을까?,조재형,캠퍼스멘토,2020년 07월 28일,14250,청소년
28,9788936459277,9788936459277,개를 보내다,표명희 /진소 그림,창비,2020년 08월 10일,7920,청소년
29,9791163220442,9791163220442,"신비한 수학의 땅, 툴리아 2 : 기묘한 여름 방학 중학교 수학 1-2 개념이 담긴 흥미진진한 이야기",권혁진 /신지혜 그림/김애희 감수,유아이북스,2020년 08월 10일,11250,청소년
30,9791189683641,9791189683641,생각의 말들 삶의 격을 높이는 단단한 사유를 위하여,장석훈,유유,2020년 07월 14일,11700,에세이
31,9791188912797,9791188912797,파워풀한 교과서 세계문학 토론,"남숙경, 박다솜",특별한서재,2020년 06월 18일,15120,청소년
32,9791159255540,9791159255540,캘리그라퍼 되는 법 취미에서 직업으로,허수연,푸른들녘,2020년 06월 01일,10800,청소년
33,9788954671989,9788954671989,귤의 맛,조남주,문학동네,2020년 05월 28일,10350,청소년
34,9791196624767,9791196624767,우린 괜찮아,니나 라쿠르 /이진 역,든,2020년 04월 08일,13050,청소년
35,9788966377763,9788966377763,10대를 위한 성고민 상담소 학교에선 가르쳐주지 않는 우리 몸과 성 이야기,박성은,미다스북스(리틀미다스),2020년 03월 24일,13500,청소년
36,9791188850785,9791188850785,한번에 끝내는 세계사 암기하지 않아도 읽기만 해도 흐름이 잡히는,시마자키 스스무 /최미숙 역,북라이프,2020년 01월 15일,14220,역사
37,9791190357098,9791190357098,미터 군과 판타스틱 단위 친구들 전 세계를 측정하는 기본단위 7인조와 재미있는 단위 여행을 떠나요!,우에타니 부부 /오승민 역/박연규 감수,더숲,2020년 01월 10일,11700,청소년
38,9791188762088,9791188762088,한 권으로 끝내는 중학 영문법 마스터 나의 영어 성적 상위 1% 만들기  [ 고품질 유튜브 저자 직강 무료 제공+전치사 비법노트 제공 ],이정우,성림원북스,2019년 11월 11일,17820,청소년
