,Title,ConRate,DesRate,Author,Date,Content,BookCode
20,2020 엔지닉 반도체 전공면접 합격의 모든 것 이론 완성편,5,4,-,2020-09-11,"반도체에 대해 취업준비생이 궁금해 할만한 모든 내용이 담겨있다고 생각합니다. 반도체를 생산하는 기업들에 대한 내용부터 기본적인 반도체 소자와 공정에 대한 자세한 지식이 담겨있었습니다다. 특히 겉핥기 식으로 소자와 공정의  내용을 소개한 것이 아닌, 전공적인 측면에서 수식과 그 의미까지 충실하게  담겨있어서 많이 유용하다고 생각합니다. 뿐만 아니라 최근 발전되는 기술의 동향과 미래에 대해서도 소개를 하고있어, 반도체에 대한 지식을 쌓는 것 부터 면접에 대비해 업계에 대한 인사이트를 늘려주는, 굉장히 훌륭한 책이라고 생각합니다.",9791161980911
21,엔지닉 반도체 전공면접 교재,5,5,danny1481,2020-09-10,엔지닉 반도체 스터디를 통해 구매한 교재입니다. 반도체 공정과 소재를 모르시는분은 물론 반도체 공부하신 분들도 리뷰를 포함하여 심화내용도 공부하기 좋게 정리가 잘되어있어서 좋습니다.생각보다 훨씬 세세하게 설명이 되어있어서 정말 좋은 교재 같습니다.또한 각 단원마다 면접 기출문제도 나와있어 공부 했던 내용들을 다시 한번 나만의 것으로 정리할 수 있어서 정말 좋았습니다.반도체 관련 분야로 취업하시는 분들께 정말 추천하는 교재입니다.,9791161980911
22,반도체,5,5,lsuh29,2020-09-10,엔지닉 반도체 스터디를 통해 알게 된 교재입니다. 반도체 소재와 공정에 대해 자세하게 설명되어 있어 공정에 대해 모르는 사람도 쉽게 공부할 수 있고 이미 배운 사람도 복습하기에 좋은 교재입니다. 면접 기출 문제도 있어 기출문제를 이용해 면접 대비하기에도 좋은 교재 같습니다. 반도체 관련 취업하시는 분들께 추천하는 교재 입니다. 관련 스터디를 통해 강의를 들을 수 있다는 점도 좋았습니다.,9791161980911
23,반도체 취업 준비한다면 추천,5,5,did443,2020-09-09,엔지닉 스터디로 함께하고 있는데 좋아요 반도체 전공면접 책은 처음 사봤는데 생각보다 책에 하나하나 되게 자세하게 나와있더라구요!스터디는 아직 2일차지만 열심히해서 2주동안 빠지지 않고 잘하고 싶어요 ㅎㅎ서류 붙고 면접 준비할 때 더 유용하게 쓸 것 같습니당 학교에서 반도체 공부하신 분들은 리뷰용으로 공부하기 좋으실 것 같고 안 배우신 분들도 공부하기 좋을 것 같아욤! ㅎㅎㅎ,9791161980911
24,덕분에 반도체 스터디 잘하구 있습니다!,5,5,rori0108,2020-09-08,"우연히 엔지닉 반도테 스터디를 시작하게 되었습니다.반도체 스터디를 이 책으로 동시에 진행하고 있는데요 덕분에 반도체 소자와 반도체의 원리, mosfet 관련 내용, 반도체 공정 관련 지식을 정리할 수 있어서 너무 좋았어요!이 책과 더불어 엔지닉애서 진행하는 스터디도 직무분석과 가업분석도 같이 해주셔서 취업 준비하기 편하네욤이 책으로 취업 준비해서 삼성전자나 하이닉스 가고 싶어요!",9791161980911
25,엔지닉 반도체 책으로 취뽀하자!!,5,5,게트,2020-09-07,"반도체 기업에 취업하고 싶지만 알고 있는 정보가 너무 없어서 이 책을 구매하게 되었습니다. 이 책을 통해서 반도체 기업을 분석하고, 반도체에 관한 기본 지식을 습득하여 취뽀하도록 노력하겠습니다. 책은  제일 앞쪽에는 기업이 분석되어있으며, 반도체 관련 용어를 정리한 소책자가 있는 것이 좋은 것 같습니다. 그리구 책 초반부를 넘어가면 반도체에 관한 기초 내용부터 시작해서 반도체 소자, 반도체 공정으로 차레로 나뉘어져서 잘 정리되어 있는것을 확인할 수 있었습니다. 학과에서 배운 내용과 취업할때 필요한 내용이 잘 요약되어 담겨져 있는 것 같습니다.  잘 사용하겠습니다!!",9791161980911
26,엔지닉 반도체,4,5,취뽀개,2020-09-07,취업준비를 시작하며 반도체에 대한 공부가 막막하였는데 이번기회로 확실히 하게 되었습니다. 책을 받아보고 공부를 해본 후 다시 리뷰를 작성하겠습니다. 반도체 산업이 핫한 만큼 그에대한 준비가 필요하다고 생각합니다. 막막하신 분들은 엔지닉을 통해 준비해보는 것도 좋다고 생각합니다. 저도 엔지닉을 통해 스터디를 진행하고 후기를 다시 남기러 오겠습니다. 다들 취업 화이팅~!!,9791161980911
27,취준,4,4,cyl302,2020-09-06,"처음으로 반도체회사 취준을 위해 구입했어요! 대학에서 수업시간에 조금씩 배우긴 했지만, 반도체에 대한 정보가 완벽하게 정리되지않은 상태인데 자세히 설명되어 있어서 좋은거같고, 기출문제로 적용시킬수 있어서 면접대비에도 좋은거같아요! 스터디하면서 강의와 함께 들으면 더 이해하기 쉬울거같아서 기대중입니당 아직 자세히 보지는 않았지만 이 책으로 열심히 공부해서 꼭 취뽀하고싶습니다,,,",9791161980911
28,반도체 지원을 하신다면 꼭 보면 좋아요!,5,5,jimteen,2020-09-06,"상반기 반도체에 관한 아무런 지식도 없이 준비하였다가 쓰디 쓴 맛을 보았습니다. 하지만, 이번 하반기를 준비함에 있어 엔지닉 반도체 이론 완성편을 구매하게 되었습니다. 반도체에 관한 기초 이론이 없던 저였지만, 이 책이 초심자가 접근하기 좋을 뿐만 아니라 기초부터 심화 이론까지 탑재되어 있어 정말 알차게 공부할 수 있었습니다. 또한, 최신 트랜드 기술도 알 수 있었으며  면접 준비하는데도 무척 도움이 될만한 책이라고 생각합니다.",9791161980911
29,반도체 부문 취업준비 도서로는 최고!,5,5,때지,2020-09-05,스터디를 위해 책을 구매하게 되었습니다.전자전기공학부라서 아주 기초적인 반도체 지식은 있었습니다. 비록 공부안한지 2~3년이 다되어가서 남아있는게 거의 없었지만 천천히 따라가고자 스터디하면서 열심히 공부했습니다.솔직히 말하자면 이 책은 비전공자에게는 조금 어려운 내용이 많습니다. 전공자라도 기초적인 지식이 있어야 이해할 수 있는 내용들도 많아요.하지만 그걸 이겨내고 이해하려한다면 이만큼 좋은 책도 없다고 생각해요. 디테일이 상당하거든요.너무너무 좋은 책이에요ㅠㅠ,9791161980911
